cluster	axial count	mcr count	total occurrence
GC_00002014	0	3	5
GC_00002013	2	3	5
GC_00002012	0	5	5
GC_00002011	1	4	5
GC_00002010	1	3	5
GC_00000921	7	7	14
GC_00000920	8	6	14
GC_00001182	0	9	10
GC_00000923	7	7	14
GC_00000922	7	6	14
GC_00000925	8	6	14
GC_00005830	1	0	1
GC_00000924	7	6	14
GC_00000927	7	7	14
GC_00001183	5	3	10
GC_00000926	9	5	14
GC_00009896	0	1	1
GC_00009897	0	1	1
GC_00009894	0	1	1
GC_00009895	1	0	1
GC_00009892	1	0	1
GC_00009893	1	0	1
GC_00009890	1	0	1
GC_00009891	1	0	1
GC_00005831	1	0	1
GC_00009898	0	1	1
GC_00009899	0	1	1
GC_00001184	5	5	10
GC_00004459	1	0	1
GC_00005481	0	1	1
GC_00001186	4	6	10
GC_00009002	0	1	1
GC_00003638	2	0	2
GC_00003639	1	1	2
GC_00003634	0	2	2
GC_00003635	2	0	2
GC_00003636	2	0	2
GC_00003637	0	2	2
GC_00003630	1	1	2
GC_00003631	0	1	2
GC_00003632	0	1	2
GC_00003633	0	2	2
GC_00004363	1	0	1
GC_00004362	1	0	1
GC_00004361	0	1	1
GC_00004360	1	0	1
GC_00004367	0	1	1
GC_00004366	1	0	1
GC_00004365	0	1	1
GC_00004364	0	1	1
GC_00004369	1	0	1
GC_00004368	1	0	1
GC_00001187	7	3	10
GC_00002909	1	2	3
GC_00002908	3	0	3
GC_00009008	0	1	1
GC_00002905	0	3	3
GC_00002904	3	0	3
GC_00002907	1	2	3
GC_00002906	0	3	3
GC_00002901	1	2	3
GC_00002900	3	0	3
GC_00002903	2	1	3
GC_00002902	1	2	3
GC_00004507	0	1	1
GC_00004506	1	0	1
GC_00004505	1	0	1
GC_00004504	1	0	1
GC_00004503	0	1	1
GC_00004502	1	0	1
GC_00004501	1	0	1
GC_00004500	1	0	1
GC_00004509	1	0	1
GC_00004508	0	1	1
GC_00005360	1	0	1
GC_00005361	1	0	1
GC_00005362	1	0	1
GC_00005363	0	1	1
GC_00005364	0	1	1
GC_00005365	0	1	1
GC_00005366	1	0	1
GC_00005367	0	1	1
GC_00005368	1	0	1
GC_00005369	0	1	1
GC_00000628	12	6	19
GC_00000629	9	9	19
GC_00000622	10	9	19
GC_00000623	11	8	19
GC_00000620	9	7	19
GC_00000621	10	9	19
GC_00000626	11	7	19
GC_00000627	10	8	19
GC_00000624	11	8	19
GC_00000625	10	9	19
GC_00004530	1	0	1
GC_00008612	1	0	1
GC_00005104	1	0	1
GC_00005105	1	0	1
GC_00005106	1	0	1
GC_00005107	0	1	1
GC_00005100	1	0	1
GC_00005101	1	0	1
GC_00005102	0	1	1
GC_00005103	1	0	1
GC_00009706	1	0	1
GC_00009707	0	1	1
GC_00009704	0	1	1
GC_00009705	1	0	1
GC_00005108	0	1	1
GC_00005109	0	1	1
GC_00009700	1	0	1
GC_00009701	1	0	1
GC_00010230	0	1	1
GC_00010231	1	0	1
GC_00010232	0	1	1
GC_00010233	1	0	1
GC_00010234	0	1	1
GC_00010235	1	0	1
GC_00010236	0	1	1
GC_00010237	1	0	1
GC_00010238	0	1	1
GC_00010239	0	1	1
GC_00005892	1	0	1
GC_00001283	4	5	9
GC_00001282	3	6	9
GC_00001281	4	5	9
GC_00001280	4	5	9
GC_00001287	5	2	9
GC_00001286	2	6	9
GC_00001285	2	7	9
GC_00001284	3	4	9
GC_00001289	3	5	9
GC_00001288	5	3	9
GC_00005483	1	0	1
GC_00005893	1	0	1
GC_00003112	0	2	2
GC_00005890	1	0	1
GC_00004271	0	1	1
GC_00008616	1	0	1
GC_00006109	0	1	1
GC_00006108	1	0	1
GC_00006459	0	1	1
GC_00006458	1	0	1
GC_00005891	0	1	1
GC_00006101	1	0	1
GC_00006100	1	0	1
GC_00006103	1	0	1
GC_00006102	1	0	1
GC_00006105	0	1	1
GC_00006104	1	0	1
GC_00006107	1	0	1
GC_00006106	1	0	1
GC_00005896	1	0	1
GC_00007859	0	1	1
GC_00007854	1	0	1
GC_00007855	0	1	1
GC_00007856	1	0	1
GC_00007857	1	0	1
GC_00007850	1	0	1
GC_00007851	1	0	1
GC_00007852	1	0	1
GC_00007853	1	0	1
GC_00004273	1	0	1
GC_00007740	1	0	1
GC_00005897	1	0	1
GC_00007741	1	0	1
GC_00007742	0	1	1
GC_00007743	0	1	1
GC_00007744	1	0	1
GC_00007745	0	1	1
GC_00005894	0	1	1
GC_00007746	1	0	1
GC_00007211	1	0	1
GC_00002224	0	4	4
GC_00002225	4	0	4
GC_00002226	0	4	4
GC_00002227	0	4	4
GC_00002220	1	3	4
GC_00002221	1	2	4
GC_00002222	3	0	4
GC_00002223	0	3	4
GC_00002228	3	1	4
GC_00002229	0	4	4
GC_00005895	0	1	1
GC_00006777	1	0	1
GC_00007278	1	0	1
GC_00007279	1	0	1
